x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y
0.2,0,0.2,0,0.83,0.2,0,0,0.62,0.132,0,1.65,1,1
0,0,0,0,0,0,0,0,0,0,0.338,1.666,1,1
0,0,0,0,0,0,0,0,0,1.431,0,4.071,1,1
0.23,0,0,0.47,0.23,0.95,0.47,0,0,0.197,0,5.038,1,1
0,1.45,0.72,0,2.91,0,0,0,0,0.495,0,1.525,1,1
0,0,0,0,1.28,0,0,0,0,0.724,0,3.071,1,1
0,0,0,0,0,0,0,0,0,0.834,0,5.13,1,1
0.46,1.86,0.46,0,1.86,0,0.46,0,0,0.571,0.214,4.63,1,1
0,0,0,0.38,0.38,0,0.38,0,0,0.061,0.061,1.775,1,1
0,0,0,0,0.79,1.58,0,0,0,0.268,0,2.815,1,1
0,0,0,0.33,0.2,0,0.06,0,0,0.096,0.085,3.353,1,1
0,0,0,0,0,0,0,0,0,0,0,3.8,1,1
1.12,0,0,0.56,0.56,2.8,0,0,0,1.083,0.333,4.974,1,1
0.05,0.26,0.26,0.97,0.26,0.44,0.34,0,0,0.322,0.764,6.1,1,1
0.03,0.14,0.29,0.67,0.22,0.44,0.63,0,0,0.613,0.532,7.3,1,1
0.03,0.14,0.29,0.67,0.22,0.44,0.63,0,0,0.612,0.531,7.3,1,1
0,0.46,0,1.38,0,0.46,0,0,0,0.082,0.823,3.4,1,1
0.46,0,0.46,0,0,0,0,0,0,0,0,2.676,1,1
0,0,0,0.7,1.05,0,0,0,0,1.284,0,3.639,1,1
0,0,0,0.43,0.43,0,0,0,0,0.736,0,2.81,1,1
0,0,0,0,0.6,0,0,0,0,0.31,0,4.897,1,1
0,0,0,0.41,0.41,0,0.41,0,0,0.461,0.527,3.166,1,1
0.7,0,0,0,2.83,0,0,0,0,0.38,0,1.153,1,1
0,0,0,0,0.64,0,0,0,0,0.662,0,10.068,1,1
0,0,0,0,0,0,0,0,0,1.529,0,5.5,1,1
0,0,0,0,0.64,0,0,0,0,0.662,0,10.068,1,1
0,0,0,0,0,0,0,0,0,1.529,0,5.5,1,1
0,0,0,0,0.64,0,0,0,0,0.662,0,10.068,1,1
0,0,0,0,0,0,0,0,0,1.529,0,5.5,1,1
0,0,0,0,0.79,0,0,0,0,0.462,0,5.793,1,1
0,0,0,0,0,0,0,0,0,1.529,0,5.5,1,1
1.96,0,0,1.96,0,0,0,0,0,0,0,6.166,1,1
2.46,0,0,0,2.46,0,0,0,0,1.907,0,1.285,1,1
0,0,0,0,0,0,0,0,0,0,0,2.913,1,1
0.76,0,0,0.38,0,0,0,0,0,0,0.177,3.836,1,1
0,0,0,0,0,0,0,0,0,0,0,1.238,1,1
0.12,0.5,0.5,0.88,0.25,0.12,0.12,0,0,0,0.119,4.155,1,1
0,0,0,0,0.51,0,0,0,0,0.542,0,1.972,1,1
0,0.05,0,0.3,0,0,0.2,0.05,0,0.054,0.118,2.37,1,1
0,0.05,0,0.3,0,0,0.2,0.05,0,0.054,0.118,2.379,1,1
2.56,1.28,1.28,1.28,0,5.12,0,0,0,0.542,0,102.666,1,1
1.11,0,0,0.55,0.55,2.79,0,0,0,1.158,0.331,4.875,1,1
0,0.05,0,0.3,0,0,0.2,0.05,0,0.054,0.118,2.37,1,1
0,0.05,0,0.3,0,0,0.2,0.05,0,0.054,0.118,2.379,1,1
0,0.19,0.3,0.73,0.23,0.42,0.5,0,0,0.335,1.281,7.202,1,1
0.16,0,0.16,0,0.16,0,0,0,0,0.271,0.024,5.709,1,1
0.3,0,0,0,0,0,0,0,0,0.092,0.322,2.074,1,1
0.33,0.84,0.33,1.51,0,1.68,0.33,0,0,1.194,0.054,5.567,1,1
0,0,0.5,1.01,0,0,0,0,0,0.089,0.178,3.416,1,1
0.59,0,0,1.19,0,0,0.59,0,0,0.427,0,10,1,1
0.4,1.2,0,0.8,0,1.6,0,0,0,0.706,0.212,1.838,1,1
0,0,0,2.07,0.41,0,0.41,0,0,0.97,0.149,32.142,1,1
0.38,0,0,0,0.38,0.76,0,0,0,0.598,0.179,4.523,1,1
0.4,0.4,0.4,0,0.4,0,0.4,0,0,0.121,0,1.979,1,1
0,0,0,0,0.56,0,0,0,0,0.606,0,2.36,1,1
0.16,0,0,0.64,0,0.16,0,0,0,0.299,0.174,1.891,1,1
0,0,0,0,0,0,0,0,0,0.215,0.431,4,1,1
0,0.19,0.39,0.39,0.98,0.19,0,0,0,0.16,0.16,2.128,1,1
0,0.19,0.39,0.39,0.98,0.19,0,0,0,0.16,0.16,2.128,1,1
0,0,0,0.33,0.66,0.66,0.33,0,0,0.12,0.541,5.428,1,1
0,0,0,0,2.98,0,0,1.49,0,0,0,1.1,1,1
0,0,0,1.65,0.82,0,0,0,0,0,0,1.769,1,1
0,0,0,0.33,0.66,0.66,0.33,0,0,0.12,0.541,5.428,1,1
1.58,0,0,0,0,0,0,0,0,0.558,0.279,3.272,1,1
0,0.19,0.3,0.73,0.23,0.42,0.5,0,0,0.335,1.281,7.202,1,1
1.58,0,0,0,0,0,0,0,0,0.558,0.279,3.272,1,1
0,0,0,1.38,2.77,0,0,0,0,0.715,0,1.181,1,1
0,0,0,0,0,0,0,0,0,0.215,0.431,4.277,1,1
0,0,0,0.33,0.66,0.66,0.33,0,0,0.12,0.541,5.428,1,1
0.14,0,0.29,0,0.14,0,0,0,0,0.865,0.023,5.133,1,1
0,0,0,0.72,0,0,0.72,0,0,0.063,0.126,2.562,1,1
0,2.98,0.27,0.54,0.81,1.63,0.27,0,0,0.565,0.121,1.617,1,1
0,0,0,0.39,0,1.17,1.56,0,0,0.261,0,1.461,1,1
1.12,0,0,0.56,0.56,2.82,0,0,0,1.32,0.33,5.135,2,1
0,0,0,0,0,0.67,0,0,0,0.2,0,1.064,2,1
0,0,0,0,0.62,0,0,0,0,1.055,0,2.033,2,1
0,0,0,0,0.33,0,0,0,0,0.484,0,1.796,2,1
0,0,0,0,4.76,0,0,0,0,0,0,2.375,2,1
1.31,1.31,0,0,0,1.31,0,0,0,0.117,0.117,48.5,2,1
0.45,0,0,0,0.45,0.45,0,0,0,0.135,0,5.571,2,1
0,0,0,2.13,0,1.7,0.42,0,0,1.088,0,5.714,2,1
0,0,0,0,0,0,0,0,0,0,0.185,7.313,2,1
0,0,0,0,0.43,0,0,0.21,0,0.146,0.146,6.233,2,1
0,0.46,0,1.38,0,0.46,0,0,0,0.081,0.816,3.4,2,1
0,0.29,0.29,0,0.87,0.29,0,0,0,0.265,0,3.121,2,1
0.34,0,0,0,0.68,0,0,0,0,0,0,3.131,2,1
0,0.46,0,1.38,0,0.46,0,0,0,0.081,0.816,3.4,2,1
0.62,0,0,3.1,0,1.24,0.62,0,0,0.517,0,3.363,2,1
1.05,0,0,0,0,0,0,0,0,0,0,4.5,2,1
0,0,0,0.71,0.35,0,0,0,0,0.7,0,3.768,2,1
0.15,0,0.15,0,0.15,0,0,0,0,0.567,0.024,5.425,2,1
0.57,0,0,1.15,0,0,0.57,0,0,0.518,0,10.117,2,1
0.26,0,0.26,0,0.79,0,0.52,0,0,0.31,0,5.549,2,1
0.08,0.42,0,0.6,0,0.17,0.08,0,0,0.095,0.013,4.07,2,1
0,0,0,0,0.5,0,0,0,0,0.892,0,2,2,1
0,0,0,0,0.54,0,0,0,0,1.443,0,1.969,2,1
0,2.34,0.78,1.56,0,0.78,0,0,0,0.889,0,2.13,2,1
0,2.04,1.02,0,0,0,0,0,0,0.968,0,2.179,2,1
0,0,0,0,0,0,0,0,0,0,0,1.1,2,1
0,0,0,1.34,0.44,0,0.44,0,0,0.944,0.145,2.451,2,1
0,0,0,0.66,0.33,0,0,0,0,0.583,0,4.024,2,1
0,2.04,1.02,0,0,0,0,0,0,0.969,0,2.179,2,1
0.08,0.25,0.34,0.51,0.08,0,0.34,0,0,0.258,0.258,5.297,2,1
0.08,0.26,0.34,0.52,0.08,0,0.34,0,0,0.259,0.259,3.335,2,1
0,0,0,2.18,0,1.74,0.43,0,0,0.835,0,5.114,2,1
0,0,0,1.33,0.44,0,0.44,0,0,1.083,0.144,2.428,2,1
0,0,0,0,0,0,0,0,0,0.118,0,1.307,2,1
0,0,0,0,0,0,0,0,0,1.754,0,1,2,1
0,0.05,0,0.17,0.05,0,0.23,0,0,0.032,0.14,1.364,2,1
3.12,0,0,3.12,3.12,0,0,0,0,0,0,9.428,2,1
0,0,0,1.59,1.59,0.53,0.53,0,0,0.28,0.186,2.823,2,1
0.93,0,0,0,0.46,0.46,0,0,0,0.135,0,4,2,1
1.12,1.12,0.56,2.25,2.25,0,0,0,0,0,0,1.416,2,1
0,0,0,0.66,0,0.66,1.32,0,0,0.83,0.069,3.215,2,1
0,0,0,0.8,1.61,0,0,0,0,1.192,0,1.463,2,1
0.14,0,0.14,0,0.14,0,0,0,0,0.585,0.046,5.02,2,1
0.08,0.42,0,0.6,0,0.17,0.08,0,0,0.095,0.013,4.07,2,1
0,0,0,0.81,0,0,0,0,0,0.294,0.147,2.333,2,1
1.08,0,0,0.54,0.54,0.54,0,0,0,1.18,0.252,5.323,2,1
0.08,0.42,0,0.6,0,0.17,0.08,0,0,0.108,0.013,4.07,2,1
1.07,0,0,0.53,0.53,0.53,0,0,0,1.183,0.253,5.454,2,1
0.51,0,0,0,2.07,0,0,0,0,0.067,0,2.676,2,1
1.09,0,0,0.54,0.54,3.29,0,0,0,1.045,0.321,5.047,2,1
0,0,0,0.38,0.38,0.77,0,0,0,0.985,0.184,3.923,2,1
0,0,0,0.39,0.39,0.78,0,0,0,0.869,0.186,4,2,1
0.86,0,0,0.43,0,0.86,1.29,0,0,0.915,0,3.891,2,1
0,0.45,0.22,0,0,0.91,0,0,0,0.187,0.112,3.184,2,1
0,0,0,0,0.56,0,0,0,0,0.615,0,2.403,2,1
0,0,0,0,0.55,0,0,0,0,0.893,0,2.122,2,1
0,0,0,0.65,0,0,1.31,0,0,0.816,0.068,3.173,2,1
0.61,0,0,0,0,1.23,0,0,0,0.353,0,2.25,2,1
0.44,0.44,0,0.88,0.44,0,0.44,0,0,0.563,0.15,86.65,2,1
0.08,0.25,0.34,0.51,0.08,0,0.34,0,0,0.287,0.223,3.314,2,1
1.04,0,0,0,2.08,0,0,0,0,0,0,3.812,2,1
1.33,0,0,0,0,0,0,0,0,0.202,1.417,29.125,2,1
1.08,0,0,0.54,0.54,0.54,0,0,0,1.182,0.253,5.454,2,1
0,0,0,0.62,0,1.25,0,0,0,0.08,0,2.111,2,1
0,0,0,0,0.9,0,0,0,0,0.165,0.165,6.266,2,1
0,0.02,0,0.25,0.05,0.22,0.02,0,0,0,0.022,1.423,2,1
0,0.02,0,0.25,0.05,0.22,0.02,0,0,0,0.022,1.423,2,1
0.53,0.17,0.26,1.25,0.62,0.08,0.08,0,0,0.212,0.185,6.815,2,1
0,0,0,0,0.96,0.96,0,0,0,0.468,0.267,3.315,2,1
0,0.46,0,1.38,0,0.46,0,0,0,0.081,0.816,3.4,2,1
0.68,0,0,0.68,0.68,0,0.34,0,0,0.366,0.061,1.895,2,1
0,0,0.36,0.9,0.72,0,0.54,0,0,0.633,0.063,9.043,2,1
0.39,0.13,0,0.78,1.57,0,0.39,0,0,0.779,0.021,2.689,2,1
0.32,0.32,0,0.32,0.32,0.32,0.32,0,0,0,0.157,1.537,2,1
0.32,0.32,0,0.32,0.32,0.32,0.32,0,0,0,0.159,1.537,2,1
0,0.59,0,0.39,0.59,0.39,0.19,0,0,0.258,0.032,3.112,2,1
0,0.46,0.23,0,0,0.92,0,0,0,0.188,0.112,3.105,2,1
0,0,0,0,0.71,0,0,0,0,1.094,0,2.021,2,1
2.98,0,0,0,1.49,2.98,0,0,0,0,0.171,13,2,1
0.16,0,0.16,0,0.5,0,0,0.33,0,0.884,0.752,5.328,2,1
0,0,0,0,0.55,0,0,0,0,0.683,0,2.338,2,1
0.16,0,0.16,0,0.16,0,0,0,0,0.773,0.08,6.586,2,1
0,0,0,0.36,0,0.72,0,0,0,0,0,1.543,2,1
1.69,0,0,0.84,10.16,0.84,0.84,0,0,1.113,0.278,173,2,1
0,0,0,0,0,0,0,0,0,0,0,1.103,2,1
0,0,0,0,0,0,0,0,0,0,0,1.103,2,1
0.08,0.43,0,0.6,0,0.17,0.08,0,0,0.088,0.013,4.16,2,1
2.18,0,0,0.54,0,0,0,0,0,0.471,0,15.08,2,1
0,0,0,0.85,0.85,0,0,0,0,0,0.082,7.17,2,1
0,0,0,0,1.05,0,0,0,0,1.806,0,1.293,2,1
0,0,0.22,0.9,0.22,0,0.22,0,0,0.129,0.193,7.258,2,1
2.23,0,0,0.55,0,0,0,0,0,0.479,0,16.739,2,1
0,2.24,1.12,1.12,0,0,0,0,0,0.814,0,2.6,2,1
0.32,0.32,0,0.32,0.32,0.32,0.32,0,0,0,0.158,1.494,2,1
0,0.71,0,0,0,2.87,0,0,0,0.937,0,11.888,2,1
2.23,0,0,0.55,0,0,0,0,0,0.479,0,16.739,2,1
1.07,0,0,0,2.15,0,0,0,0,0.145,0.437,1.823,2,1
0,0,0,0,0.95,0.95,0,0,0,0.461,0.263,3.493,2,1
0.15,0,0.15,0,1.11,0,0,0.95,0,0.862,0.707,5.423,2,1
0,0,0,0,0,0,0,3.58,0,0,0,2.5,2,1
0,0,0,0.76,0,0,0,0,0,2.766,0.829,5.607,2,1
0.08,0,0,1.3,0.48,0.08,0.16,0,0,0.39,0.097,5.594,2,1
0,0.27,0.41,1.04,1.11,0.69,0.69,0,0,0.75,0.305,3.401,2,1
0,0.27,0.41,0.97,1.11,0.69,0.69,0,0,0.75,0.305,3.401,2,1
0,0,0,0,4,0,0,0,0,2.453,0,4.153,2,1
0,0.71,0,0,0,2.85,0,0,0,0.931,0,12.055,2,1
0,0,0,0,0.8,0.8,0,0,0,1.62,0.347,2.604,2,1
0.33,0.33,0,0.33,0.33,0.33,0.33,0,0,0,0.162,2.195,2,1
0.07,0,0.07,1.48,0,0.14,0.14,0,0,0.159,0.159,3.456,2,1
0.33,0.33,0,0.33,0.33,0.33,0.33,0,0,0,0.161,2.195,2,1
0.15,0,0.15,0,1.11,0,0,0.95,0,0.862,0.707,5.423,2,1
0,0,0,0,0.31,0,0,0,0,0.043,0,1.741,2,1
0.17,0,0.17,0,0.17,0,0,0,0,0.665,0.083,6.294,2,1
0,0,0,0,0.79,0.79,0,0,0,0.271,0.135,3.257,2,1
0,0,0.14,0.58,0.14,0,0.44,0,0,0.204,0.127,2.962,2,1
0,0,0,0,0,0,0,0,0,0.784,0,5.687,2,1
0,0.25,0,1.5,0.25,0.5,0.25,0,0,0.203,0.203,2.866,2,1
1.16,0,0.58,0,0.58,0,0,0,0,0.09,0.09,1.829,2,1
0,0,0.14,0.58,0.14,0,0.44,0,0,0.204,0.127,2.962,2,1
0,0,0.14,0.58,0.14,0,0.44,0,0,0.204,0.127,2.962,2,1
0.58,0,0,0.58,0.58,0,0,0,0,0.829,0,2.529,2,1
0,0,0,1.51,0,0.5,0,0,0,0.041,0.124,3.181,2,1
3.12,0,0,3.12,0,0,0,0,0,0,0,9.428,2,1
2.28,0,0,0.57,0,0,0,0,0,0.487,0,16.217,2,1
0.17,0.52,0.35,0.52,0,0.17,0,0,0,0.085,0.057,3.564,2,1
0,0,0,0,0.95,0.95,0,0,0,0.401,0.267,3.459,2,1
2.28,0,0,0.57,0,0,0,0,0,0.487,0,16.217,2,1
0.17,0,0.17,0,0.17,0,0,0,0,0.315,0,6.364,2,1
2.28,0,0,0.57,0,0,0,0,0,0.487,0,16.217,2,1
3.27,0,0,0,1.63,1.63,0,0,0,0.54,0.18,14.818,2,1
0.14,0,0.29,0,0.87,0,0,0,0,0.764,0.784,4.979,2,1
0.19,0,0.19,0,0.19,0,0,0,0,0.632,0.03,6.789,2,1
0.2,0.6,0.2,1.2,0.4,1.61,0.6,0,0,1.453,0.129,3.946,2,1
0,0,0,0,0,0,0,0,0,0.531,0,2.9,2,1
0.15,0,0.3,0,0.92,0,0,0,0,0.732,0.753,5.058,2,1
0,0,0,0,0.52,0,0,0,0,0.867,0,2.22,2,1
0,0,0,0,0.42,0,0,0,0,1.117,0,1.206,2,1
0.06,0.06,0.06,0.54,0,0.72,0.06,0,0,0.01,0.167,1.733,3,1
0.2,0.62,0.31,1.04,0.1,1.14,0.2,0.1,0,0.785,0.065,4.064,3,1
5.4,0,0,0,5.4,0,0,0,0,0.841,0.21,24.785,3,1
0.17,0.89,0.35,1.61,0,1.79,0.35,0,0,1.158,0.057,5.163,3,1
0.08,0,0,1.37,0.51,0.08,0.17,0,0,0.348,0.103,5.392,3,1
0.23,0.23,0,0.69,0,0.69,0.23,0,0,0.841,0.036,1.862,3,1
0,0.06,0.13,0.26,0,0,0,0,0,0,0.032,1.206,3,1
0,1.05,0.52,1.05,1.05,0,0.52,0,0,0.702,0.263,6.487,3,1
0.32,0.64,0,0.32,0.32,0.32,0.32,0,0,0,0.157,1.494,3,1
0,0,0,0.54,0.54,0.54,0,0,0,0.715,0.318,2.345,3,1
0,0,0,0,1.63,0,0,0,0,0.759,0.253,2,3,1
0,0.18,0,2.07,0,0.37,0.18,0,0,0.242,0.107,2.623,3,1
0.35,1.41,0.35,1.06,0.7,1.06,0,0,0,0.411,0,2.917,3,1
2.41,0.34,2.06,2.06,0,0,0,0,0,0,0,1.888,3,1
0,0.37,0,2.07,0,0.37,0.18,0,0,0.295,0.107,2.542,3,1
0.64,0,0,0.64,0.64,0.64,0,0,0,0.551,0.459,2.333,3,1
0.32,0.32,0,0.32,0.32,0.32,0.32,0,0,0,0.159,1.494,3,1
0.64,0,0,0.64,0.64,0.64,0,0,0,0.554,0.369,2.333,3,1
0,0,0,0.75,0.18,0,0,0,0,0.07,0.07,2.616,3,1
0,0,0,0,0,0,0,0,0,0.532,0,2.9,3,1
0,0,0,1.81,0,0,0,0,0,0.309,0,1.333,3,1
0.43,0,0,0,0.43,0.43,0,0,0,0.129,0,5.8,3,1
0,0,0,0,0.43,0,0,0,0,1.133,0,1.2,3,1
0,0,0,0.68,0.34,0,0,0,0,0.718,0,3.718,3,1
0.16,0,0.16,0,1.64,0,0,0,0,0.906,0.663,5.289,3,1
0.06,0.06,0.06,0.54,0,0.72,0.06,0,0,0.01,0.167,1.74,3,1
0.11,0,0.23,0.92,0.46,0.23,0,0,0,0.322,0.094,2.576,3,1
0,0,1.23,1.23,0,0,0,0,0,1.284,0,1.357,3,1
0.91,0,0,0,0,0,0,0,0,0.672,0.269,4.35,3,1
0,0,0,1.31,0,0,1.31,0,0,0,0.199,4.818,3,1
0,0.18,0,2.06,0,0.37,0.18,0,0,0.268,0.107,2.698,3,1
0,0.18,0,2.07,0,0.37,0.18,0,0,0.241,0.107,2.623,3,1
0.32,0.32,0,0.32,0.32,0.32,0.32,0,0,0,0.157,1.494,3,1
0,0.67,0,0,0,0,0,0,0,0.511,0,4.617,3,1
0,0,0,0.62,0.31,0,0,0,0,1.152,0,4.592,3,1
0,0,0,0,0,0,0,0,0,0,0,1.266,3,1
0,0.67,0,0,0,0,0,0,0,0.511,0,4.617,3,1
0,0,0,0,0,0,0,0,0,0,0,1.266,3,1
0.17,0,0.17,0,1.74,0,0,0.17,0,0.754,0.681,4.74,3,1
1,0,0,0,0,2,1,0,0,0.275,0.137,2.538,3,1
0,0,0,0,1.05,1.05,0,0,0,0.351,0.175,3.343,3,1
0.16,0,0.16,0,2.13,0,0,0.49,0,0.693,0.67,4.835,3,1
0,0,1.53,0,0,0,0,0,0,1.434,0,7.055,3,1
0,0,0,1.31,0,0,1.31,0,0,0,0.201,4.5,3,1
0,0,0,0,1.28,0,0,0,0,0.23,0.23,5.538,3,1
0.94,0,0,0.47,0,0.47,0,0,0,0.217,0,1.48,3,1
0,0,0.25,0,0,0.25,0.76,0,0,0.209,0.209,2.776,3,1
0,0,0,0.73,0.36,0.73,0,0,0,0.604,0.181,3.787,3,1
0,0,0,1.29,1.29,0.64,0,0,0,0.462,0.37,2.44,3,1
0,1.29,0,0,0.43,0,0,0,0,0.31,0.062,1.477,3,1
0,0,0,0,1.28,0,0,0,0,0.23,0.23,5.538,3,1
0.6,0,0.6,0,0,0,0,0,0,0,0,1.583,3,1
0.32,0.32,0,0.32,0.32,0.32,0.32,0,0,0,0.159,1.494,3,1
0,0,0,1.29,0,0,1.29,0,0,0,0.198,4.23,3,1
0,0,0,0,1.28,0,0,0,0,0.23,0.23,5.538,3,1
0.63,0,0,0.63,0.63,0.63,0,0,0,0.501,0.3,2.458,3,1
0,0,0,0.65,1.3,0.65,0,0,0,0.834,0.463,2.44,3,1
0,0,0,0,0,0,0,0.19,0,0,1.121,1021.5,3,1
0,1.29,0,0,0.43,0,0,0,0,0.31,0.062,1.477,3,1
0,0,0,0.23,0.08,0.23,0,0,0,0.406,0.038,2.811,3,1
0,0,0,1.29,1.29,0.64,0,0,0,0.462,0.37,2.44,3,1
0,1.29,0,0,0.43,0,0,0,0,0.31,0.062,1.477,3,1
0,0,0,0.73,0.36,0.73,0,0,0,0.604,0.181,3.787,3,1
0,0,0,0,0,0,0,2.06,0,0,0,2.217,3,1
0,0,0,0,1.28,0,0,0,0,0.23,0.23,5.538,3,1
0.32,0.32,0,0.32,0.32,0.32,0.32,0,0,0,0.158,1.494,3,1
0.06,0.06,0.06,0.54,0,0.72,0.06,0,0,0.01,0.167,1.736,3,1
0,0,0,1.31,0,0,1.31,0,0,0,0.201,4.5,3,1
0.45,0.91,0,0,0,0.45,0,0,0,0.063,0.127,4.735,3,1
1.16,0,0,0,4.65,2.32,0,0,0,0,0,1,3,1
1.25,0,0,0,6.25,0,0,0,0,0,0,1,3,1
0,0.05,0,0.02,0.05,0.1,0,0.02,0,0.107,0.017,3.922,3,1
0,0,0,0,0,0,0,0,0,5,0,1,3,1
0,0,0,0,0.48,0,0,0,0,2.443,0,1.227,3,1
